Tweet,Date
"MS-13 gang members are being removed by our Great ICE and Border Patrol Agents by the thousands, but these killers come back in from El Salvador, and through Mexico, like water. El Salvador just takes our money, and Mexico must help MORE with this problem. We need The Wall!",23-Feb
"â€œSchool shooting survivor says he quit @CNN Town Hall after refusing scripted question.â€ù @TuckerCarlson. Just like so much of CNN, Fake News. Thatâ€™s why their ratings are so bad! MSNBC may be worse.",22-Feb
"Today, it was my great honor to host a School Safety Roundtable at the @WhiteHouse with State and local leaders, law enforcement officers, and education officials.There is nothing more important than protecting our children. They deserve to be safe, and we will deliver!",22-Feb
"On behalf of an entire Nation, CONGRATULATIONS to the U.S. Women's Hockey Team on winning the GOLD! #GoTeamUSA #Olympics",22-Feb
"Will be meeting with Lawmakers today at 11:30 A.M. to discuss School Safety.  Next week it will be with our Nationâ€™s Governors. Itâ€™s been many years of all talk, no action. Weâ€™ll get it done!",22-Feb
"What many people donâ€™t understand, or donâ€™t want to understand, is that Wayne, Chris and the folks who work so hard at the @NRA are Great People and Great American Patriots. They love our Country and will do the right thing.                  MAKE AMERICA GREAT AGAIN!",22-Feb
"....If a potential â€œsicko shooterâ€ù knows that a school has a large number of very weapons talented teachers (and others) who will be instantly shooting, the sicko will NEVER attack that school. Cowards wonâ€™t go there...problem solved. Must be offensive, defense alone wonâ€™t work!",22-Feb
"....History shows that a school shooting lasts, on average, 3 minutes. It takes police & first responders approximately 5 to 8 minutes to get to site of crime. Highly trained, gun adept, teachers/coaches would solve the problem instantly, before police arrive. GREAT DETERRENT!",22-Feb
....immediately fire back if a savage sicko came to a school with bad intentions. Highly trained teachers would also serve as a deterrent to the cowards that do this. Far more assets at much less cost than guards. A â€œgun freeâ€ù school is a magnet for bad people. ATTACKS WOULD END!,22-Feb
"I never said â€œgive teachers gunsâ€ù like was stated on Fake News @CNN & @NBC. What I said was to look at the possibility of giving â€œconcealed guns to gun adept teachers with military or special training experience - only the best. 20% of teachers, a lot, would now be able to",22-Feb
"I will always remember the time I spent today with courageous students, teachers and families. So much love in the midst of so much pain. We must not let them down. We must keep our children safe!!Full Listening Session: https://www.youtube.com/watch?v=vKblXAikzEc â€_",21-Feb
".@FLOTUS Melania and I join millions of people around the world in mourning the passing of Billy Graham. Our prayers are with his children, grandchildren, great-grandchildren and all who worked closely with Reverend Graham in his lifelong ministry.",21-Feb
"Yesterday, it was my great honor to recognize extraordinary Law Enforcement Officers and First Responders, and to award them the the highest possible decoration for bravery by public safety officers, the Medal of Valor. #AmericanHeroes",21-Feb
"Question: If all of the Russian meddling took place during the Obama Administration, right up to January 20th, why arenâ€™t they the subject of the investigation? Why didnâ€™t Obama do something about the meddling? Why arenâ€™t Dem crimes under investigation? Ask Jeff Sessions!",21-Feb
The GREAT Billy Graham is dead. There was nobody like him! He will be missed by Christians and all religions. A very special man.,21-Feb
"Whether we are Republican or Democrat, we must now focus on strengthening Background Checks!",20-Feb
"So true, thank you!",20-Feb
"Bad ratings @CNN & @MSNBC got scammed when they covered the anti-Trump Russia rally wall-to-wall. They probably knew it was Fake News but, because it was a rally against me, they pushed it hard anyway. Two really dishonest newscasters, but the public is wise!",20-Feb
"Main Street is BOOMING thanks to our incredible TAX CUT and Reform law. ""This shows small-business owners are more than just optimistic, they are ready to grow their businesses.""",20-Feb
....cameras running. Another False Accusation. Why doesnâ€™t @washingtonpost report the story of the women taking money to make up stories about me? One had her home mortgage paid off. Only @FoxNews so reported...doesnâ€™t fit the Mainstream Media narrative.,20-Feb
"A woman I donâ€™t know and, to the best of my knowledge, never met, is on the FRONT PAGE of the Fake News Washington Post saying I kissed her (for two minutes yet) in the lobby of Trump Tower 12 years ago. Never happened! Who would do this in a public space with live security......",20-Feb
"I have been much tougher on Russia than Obama, just look at the facts. Total Fake News!",20-Feb
"Hope Republicans in the Great State of Pennsylvania challenge the new â€œpushedâ€ù Congressional Map, all the way to the Supreme Court, if necessary. Your Original was correct! Donâ€™t let the Dems take elections away from you so that they can raise taxes & waste money!",20-Feb
Matt Schlapp and CPAC are getting ready for another exciting event. Big difference from those days when President Obama held the White House. Youâ€™ve come a long way Matt!,20-Feb
"Republicans are now leading the Generic Poll, perhaps because of the popular Tax Cuts which the Dems want to take away. Actually, they want to raise you taxes, substantially. Also, they want to do nothing on DACA, Râ€™s want to fix!",20-Feb
"....The President Obama quote just before election. Thatâ€™s because he thought Crooked Hillary was going to win and he didnâ€™t want to â€œrock the boat.â€ù When I easily won the Electoral College, the whole game changed and the Russian excuse became the narrative of the Dems.",20-Feb
"â€œThere is no serious person out there who would suggest somehow that you could even rig Americaâ€™s elections, thereâ€™s no evidence that that has happened in the past or that it will happen this time, and so Iâ€™d invite Mr. Trump to stop whining and make his case to get votes.â€ù .....",20-Feb
"Thank you to @foxandfriends for the great timeline on all of the failures the Obama Administration had against Russia, including Crimea, Syria and so much more. We are now starting to win again!",20-Feb
"â€œThe Faith of Donald Trump,â€ù a book just out by David Brody and Scott Lamb, is a very interesting read. Enjoy!",19-Feb
"The U.S. economy is looking very good, in my opinion, even better than anticipated. Companies are pouring back into our country, reversing the long term trend of leaving. The unemployment numbers are looking great, and Regulations & Taxes have been massively Cut! JOBS, JOBS, JOBS",19-Feb
".@MittRomney has announced he is running for the Senate from the wonderful State of Utah. He will make a great Senator and worthy successor to @OrrinHatch, and has my full support and endorsement!",19-Feb
"Obama was President up to, and beyond, the 2016 Election. So why didnâ€™t he do something about Russian meddling?",19-Feb
"Have a great, but very reflective, Presidentâ€™s Day!",19-Feb
"Just watched a very insecure Oprah Winfrey, who at one point I knew very well, interview a panel of people on 60 Minutes. The questions were biased and slanted, the facts incorrect. Hope Oprah runs so she can be exposed and defeated just like all of the others!",18-Feb
"My great friends from NASCAR are having their big race today, The Daytona 500. Brian France and the France family are special people. Enjoy the race!",18-Feb
"Thank you to KenStarr, former Independent Counsel, Whitewater, for your insight and powerful words on FISA abuse, Russian meddling etc. Really great interview with @MariaBartiromo",18-Feb
"Great Pollster John McLaughlin now has the GOP up in the Generic Congressional Ballot. Big gain over last 4 weeks. I guess people are loving the big Tax Cuts given them by the Republicans, the Cuts the Dems want to take away. We need more Republicans!",18-Feb
The Fake News of big ratings loser CNN. https://twitter.com/rrealdjtrump/status/965212314889723906 â€_,18-Feb
"If it was the GOAL of Russia to create discord, disruption and chaos within the U.S. then, with all of the Committee Hearings, Investigations and Party hatred, they have succeeded beyond their wildest dreams. They are laughing their asses off in Moscow. Get smart America!",18-Feb
"Big night. Largest-ever Dallas County GOP Reagan Day Dinner. As I told the crowd, under President @realDonaldTrump: Promises Made, Promises Kept! America is back and weâ€™re just getting started!",17-Feb
"Now that Adam Schiff is starting to blame President Obama for Russian meddling in the election, he is probably doing so as yet another excuse that the Democrats, lead by their fearless leader, Crooked Hillary Clinton, lost the 2016 election. But wasnâ€™t I a great candidate?",18-Feb
"I never said Russia did not meddle in the election, I said â€œit may be Russia, or China or another country or group, or it may be a 400 pound genius sitting in bed and playing with his computer.â€ù The Russian â€œhoaxâ€ù was that the Trump campaign colluded with Russia - it never did!",18-Feb
"Finally, Liddleâ€™ Adam Schiff, the leakinâ€™ monster of no control, is now blaming the Obama Administration for Russian meddling in the 2016 Election. He is finally right about something. Obama was President, knew of the threat, and did nothing. Thank you Adam!",18-Feb
"Never gotten over the fact that Obama was able to send $1.7 Billion Dollars in CASH to Iran and nobody in Congress, the FBI or Justice called for an investigation!",18-Feb
"General McMaster forgot to say that the results of the 2016 election were not impacted or changed by the Russians and that the only Collusion was between Russia and Crooked H, the DNC and the Dems. Remember the Dirty Dossier, Uranium, Speeches, Emails and the Podesta Company!",17-Feb
Very sad that the FBI missed all of the many signals sent out by the Florida school shooter. This is not acceptable. They are spending too much time trying to prove Russian collusion with the Trump campaign - there is no collusion. Get back to the basics and make us all proud!,17-Feb
"Just like they donâ€™t want to solve the DACA problem, why didnâ€™t the Democrats pass gun control legislation when they had both the House & Senate during the Obama Administration. Because they didnâ€™t want to, and now they just talk!",17-Feb
"â€œI have seen all of the Russian ads and I can say very definitively that swaying the election was *NOT* the main goal.â€ùRob GoldmanVice President of Facebook Ads",17-Feb
"The Fake News Media never fails. Hard to ignore this fact from the Vice President of Facebook Ads, Rob Goldman!",17-Feb
"Funny how the Fake News Media doesnâ€™t want to say that the Russian group was formed in 2014, long before my run for President. Maybe they knew I was going to run even though I didnâ€™t know!",17-Feb
Deputy A.G. Rod Rosenstein stated at the News Conference: â€œThere is no allegation in the indictment that any American was a knowing participant in this illegal activity. There is no allegation in the indictment that the charged conduct altered the outcome of the 2016 election.,17-Feb
"â€œCharges Deal Don A Big Win,â€ù written by Michael Goodwin of the @nypost, succinctly states that â€œthe Russians had no impact on the election results.â€ù There was no Collusion with the Trump Campaign. â€œShe lost the old-fashioned way, by being a terrible candidate. Case closed.â€ù",17-Feb
"Melania and I met such incredible people last night in Broward County, Florida. Will never forget them, or the evening!",17-Feb
"Our entire Nation, w/one heavy heart, continues to pray for the victims & their families in Parkland, FL. To teachers, law enforcement, first responders & medical professionals who responded so bravely in the face of danger: We THANK YOU for your courage! https://instagram.com/p/BfSO1z6gpaB/ ",16-Feb
"Russia started their anti-US campaign in 2014, long before I announced that I would run for President. The results of the election were not impacted. The Trump campaign did nothing wrong - no collusion!",16-Feb
Cannot believe how BADLY DACA recipients have been treated by the Democrats...totally abandoned! Republicans are still working hard.,16-Feb
I will be leaving for Florida today to meet with some of the bravest people on earth - but people whose lives have been totally shattered. Am also working with Congress on many fronts.,16-Feb
"Presidential Proclamation Honoring the Victims of the Tragedy in Parkland, Florida: http://45.wh.gov/POTUSProclamation â€_",15-Feb
"...lottery, continues deadly catch-and-release, and bars enforcement even for FUTURE illegal immigrants. Voting for this amendment would be a vote AGAINST law enforcement, and a vote FOR open borders. If Dems are actually serious about DACA, they should support the Grassley bill!",15-Feb
"The Schumer-Rounds-Collins immigration bill would be a total catastrophe. @DHSgov says it would be â€œthe end of immigration enforcement in America.â€ù It creates a giant amnesty (including for dangerous criminals), doesnâ€™t build the wall, expands chain migration, keeps the visa...",15-Feb
"Schumer-Rounds-Collins destroys the ability of @DHSgov to enforce immigration laws, creating a mass amnesty for over 10 million illegal aliens, including criminals.",15-Feb
"In times of tragedy, the bonds that sustain us are those of family, faith, community, and country. These bonds are stronger than the forces of hatred and evil - and these bonds grow even stronger in the hours of our greatest need. http://45.wh.gov/ParklandFL ",15-Feb
"While the Republicans and Democrats in Congress are working hard to come up with a solution to DACA, they should be strongly considering a system of Merit Based Immigration so that we will have the people ready, willing and able to help all of those companies moving into the USA!",15-Feb
"So many signs that the Florida shooter was mentally disturbed, even expelled from school for bad and erratic behavior. Neighbors and classmates knew he was a big problem. Must always report such instances to authorities, again and again!",15-Feb
Just spoke to Governor Rick Scott. We are working closely with law enforcement on the terrible Florida school shooting.,14-Feb
"My prayers and condolences to the families of the victims of the terrible Florida shooting. No child, teacher or anyone else should ever feel unsafe in an American school.",14-Feb
"Today, I was honored to be joined by Republicans and Democrats from both the House and Senate, as well as members of my Cabinet - to discuss the urgent need to rebuild and restore Americaâ€™s depleted infrastructure. http://45.wh.gov/UDL9yE ",14-Feb
"As we come together to celebrate the extraordinary contributions of African-Americans to our nation, our thoughts turn to the heroes of the civil rights movement whose courage and sacrifice have inspired us all. Proclamation: http://45.wh.gov/c9Gvt9 ",14-Feb
"Negotiations on DACA have begun. Republicans want to make a deal and Democrats say they want to make a deal. Wouldnâ€™t it be great if we could finally, after so many years, solve the DACA puzzle. This will be our last chance, there will never be another opportunity! March 5th.",13-Feb
"Our infrastructure plan has been put forward and has received great reviews by everyone except, of course, the Democrats. After many years we have taken care of our Military, now we have to fix our roads, bridges, tunnels, airports and more. Bipartisan, make deal Dems?",13-Feb
The journey to #MAGA began @CPAC 2011 and the opportunity to reconnect with friends and supporters is something I look forward to every year. See you at #CPAC2018!,12-Feb
"Thank you to Sue Kruczek, who lost her wonderful and talented son Nick to the Opioid scourge, for your kind words while on @foxandfriends. We are fighting this terrible epidemic hard - Nick will not have died in vain!",12-Feb
"This will be a big week for Infrastructure. After so stupidly spending $7 trillion in the Middle East, it is now time to start investing in OUR Country!",12-Feb
Just spoke to @JohnKasich to express condolences and prayers to all for the horrible shooting of two great police officers from @WestervillePD. This is a true tragedy!,11-Feb
"Rep. Lou Barletta, a Great Republican from Pennsylvania who was one of my very earliest supporters, will make a FANTASTIC Senator. He is strong & smart, loves Pennsylvania & loves our Country! Voted for Tax Cuts, unlike Bob Casey, who listened to Tax Hikers Pelosi and Schumer!",11-Feb
4.2 million hard working Americans have already received a large Bonus and/or Pay Increase because of our recently Passed Tax Cut & Jobs Bill....and it will only get better! We are far ahead of schedule.,11-Feb
"So many positive things going on for the U.S.A. and the Fake News Media just doesnâ€™t want to go there. Same negative stories over and over again! No wonder the People no longer trust the media, whose approval ratings are correctly at their lowest levels in history!    #MAGA",11-Feb
"My Administration has identified three major priorities for creating a safe, modern and lawful immigration system: fully securing the border, ending chain migration, and canceling the visa lottery. Congress must secure the immigration system and protect Americans.",10-Feb
"My thoughts and prayers are with the two police officers, their families, and everybody at the @WestervillePD.",10-Feb
"Republicans want to fix DACA far more than the Democrats do. The Dems had all three branches of government back in 2008-2011, and they decided not to do anything about DACA. They only want to use it as a campaign issue. Vote Republican!",10-Feb
"....agencies, not just the FBI & DOJ, now the State Department to dig up dirt on him in the days leading up to the Election. Comey had conversations with Donald Trump, which I donâ€™t believe were accurate...he leaked information (corrupt).â€ù Tom Fitton of Judicial Watch on @FoxNews",10-Feb
"â€œMy view is that not only has Trump been vindicated in the last several weeks about the mishandling of the Dossier and the lies about the Clinton/DNC Dossier, it shows that heâ€™s been victimized. Heâ€™s been victimized by the Obama Administration who were using all sorts of.......",10-Feb
Peoples lives are being shattered and destroyed by a mere allegation. Some are true and some are false. Some are old and some are new. There is no recovery for someone falsely accused - life and career are gone. Is there no such thing any longer as Due Process?,10-Feb
"According to the @nytimes, a Russian sold phony secrets on â€œTrumpâ€ù to the U.S. Asking price was $10 million, brought down to $1 million to be paid over time. I hope people are now seeing & understanding what is going on here. It is all now starting to come out - DRAIN THE SWAMP!",10-Feb
"The Democrats sent a very political and long response memo which they knew, because of sources and methods (and more), would have to be heavily redacted, whereupon they would blame the White House for lack of transparency. Told them to re-do and send back in proper form!",10-Feb
Jobless claims have dropped to a 45 year low!,10-Feb
"Costs on non-military lines will never come down if we do not elect more Republicans in the 2018 Election, and beyond. This Bill is a BIG VICTORY for our Military, but much waste in order to get Dem votes. Fortunately, DACA not included in this Bill, negotiations to start now!",9-Feb
"Without more Republicans in Congress, we were forced to increase spending on things we do not like or want in order to finally, after many years of depletion, take care of our Military. Sadly, we needed some Dem votes for passage. Must elect more Republicans in 2018 Election!",9-Feb
"Just signed Bill. Our Military will now be stronger than ever before. We love and need our Military and gave them everything â€” and more. First time this has happened in a long time. Also means JOBS, JOBS, JOBS!",9-Feb
Wow! -Senator Mark Warner got caught having extensive contact with a lobbyist for a Russian oligarch. Warner did not want a â€œpaper trailâ€ù on a â€œprivateâ€ù meeting (in London) he requested with Steele of fraudulent Dossier fame. All tied into Crooked Hillary.,8-Feb
Time to end the visa lottery. Congress must secure the immigration system and protect Americans. https://www.justice.gov/opa/pr/department-justice-files-denaturalization-complaint-against-diversity-visa-recipient-who â€_,8-Feb
"As long as we open our eyes to Godâ€™s grace - and open our hearts to Godâ€™s love - then America will forever be the land of the free, the home of the brave, and a light unto all nations. #NationalPrayerBreakfast",8-Feb
"I will be meeting with Henry Kissinger at 1:45pm. Will be discussing North Korea, China and the Middle East.",8-Feb
Our founders invoked our Creator four times in the Declaration of Independence. Our currency declares â€œIN GOD WE TRUST.â€ù And we place our hands on our hearts as we recite the Pledge of Allegiance and proclaim that we are â€œOne Nation Under God.â€ù #NationalPrayerBreakfast,8-Feb
"Will be heading over shortly to make remarks at The National Prayer Breakfast in Washington. Great religious and political leaders, and many friends, including T.V. producer Mark Burnett of our wonderful 14 season Apprentice triumph, will be there. Looking forward to seeing all!",8-Feb
The Budget Agreement today is so important for our great Military. It ends the dangerous sequester and gives Secretary Mattis what he needs to keep America Great. Republicans and Democrats must support our troops and support this Bill!,7-Feb
Congratulations to the Republic of Korea on what will be a MAGNIFICENT Winter Olympics! What the South Korean people have built is truly an inspiration!,7-Feb
Best wishes to the Republic of Korea on hosting the @Olympics! What a wonderful opportunity to show everyone that you are a truly GREAT NATION!,7-Feb
NEW FBI TEXTS ARE BOMBSHELLS!,7-Feb
"In the â€œold days,â€ù when good news was reported, the Stock Market would go up. Today, when good news is reported, the Stock Market goes down. Big mistake, and we have so much good (great) news about the economy!",7-Feb
"Congratulations @ElonMusk and @SpaceX on the successful #FalconHeavy launch. This achievement, along with @NASAâ€™s commercial and international partners, continues to show American ingenuity at its best!",6-Feb
"HAPPY BIRTHDAY to our 40th President of the United States of America, Ronald Reagan!",6-Feb
"Today, we heard the experiences of law enforcement professionals and community leaders working to combat the threat of MS-13, and the reforms we need from Congress to defeat it. Watch here: http://45.wh.gov/MS13Roundtable ",6-Feb
We need a 21st century MERIT-BASED immigration system.  Chain migration and the visa lottery are outdated programs that hurt our economic and national security.,6-Feb
"Polling shows nearly 7 in 10 Americans support an immigration reform package that includes DACA, fully secures the border, ends chain migration & cancels the visa lottery. If Dâ€™s oppose this deal, they arenâ€™t serious about DACA-they just want open borders.",6-Feb
"My prayers and best wishes are with the family of Edwin Jackson, a wonderful young man whose life was so senselessly taken. @Colts",6-Feb
"So disgraceful that a person illegally in our country killed @Colts linebacker Edwin Jackson. This is just one of many such preventable tragedies. We must get the Dems to get tough on the Border, and with illegal immigration, FAST!",6-Feb
"Thanks to the historic TAX CUTS that I signed into law, your paychecks are going way UP, your taxes are going way DOWN, and America is once again OPEN FOR BUSINESS!",5-Feb
"Representative Devin Nunes, a man of tremendous courage and grit, may someday be recognized as a Great American Hero for what he has exposed and what he has had to endure!",5-Feb
Any deal on DACA that does not include STRONG border security and the desperately needed WALL is a total waste of time. March 5th is rapidly approaching and the Dems seem not to care about DACA. Make a deal!,5-Feb
"Little Adam Schiff, who is desperate to run for higher office, is one of the biggest liars and leakers in Washington, right up there with Comey, Warner, Brennan and Clapper! Adam leaves closed committee hearings to illegally leak confidential information. Must be stopped!",5-Feb
Thank you to @foxandfriends for exposing the truth. Perhaps thatâ€™s why your ratings are soooo much better than your untruthful competition!,5-Feb
The Democrats are pushing for Universal HealthCare while thousands of people are marching in the UK because their U system is going broke and not working. Dems want to greatly raise taxes for really bad and non-personal medical care. No thanks!,5-Feb
Congratulations to the Philadelphia Eagles on a great Super Bowl victory!,4-Feb
My thoughts and prayers are with all of the victims involved in this mornings train collision in South Carolina. Thank you to our incredible First Responders for the work theyâ€™ve done!,4-Feb
"...a tool of anti-Trump political actors. This is unacceptable in a democracy and ought to alarm anyone who wants the FBI to be a nonpartisan enforcer of the law....The FBI wasnâ€™t straight with Congress, as it hid most of these facts from investigators.â€ù Wall Street Journal",3-Feb
â€œThe four page memo released Friday reports the disturbing fact about how the FBI and FISA appear to have been used to influence the 2016 election and its aftermath....The FBI failed to inform the FISA court that the Clinton campaign had funded the dossier....the FBI became....,3-Feb
"Great jobs numbers and finally, after many years, rising wages- and nobody even talks about them. Only Russia, Russia, Russia, despite the fact that, after a year of looking, there is No Collusion!",3-Feb
"This memo totally vindicates â€œTrumpâ€ù in probe. But the Russian Witch Hunt goes on and on. Their was no Collusion and there was no Obstruction (the word now used because, after one year of looking endlessly and finding NOTHING, collusion is dead). This is an American disgrace!",3-Feb
"Rasmussen just announced that my approval rating jumped to 49%, a far better number than I had in winning the Election, and higher than certain â€œsacred cows.â€ù Other Trump polls are way up also. So why does the media refuse to write this? Oh well, someday!",3-Feb
#MakeAmericaGreatAgain ,2-Feb
,2-Feb
"Today, it was my honor to join the great men and women of @DHSgov, @CustomsBorder, @ICEgov and @USCIS at the U.S. Customs and Border Protection National Targeting Center in Sterling, Virginia. Fact sheet: http://45.wh.gov/miUB4K ",2-Feb
â€œTrump the orator outlines the greatness of America to Democratsâ€™ disgustâ€ù,2-Feb
"With 3.5 million Americans receiving bonuses or other benefits from their employers as a result of TAX CUTS, 2018 is off to great start!Unemployment rate at 4.1%.Average earnings up 2.9% in the last year.200,000 new American jobs.#MAGA",2-Feb
"â€œYou had Hillary Clinton and the Democratic Party try to hide the fact that they gave money to GPS Fusion to create a Dossier which was used by their allies in the Obama Administration to convince a Court misleadingly, by all accounts, to spy on the Trump Team.â€ù Tom Fitton, JW",2-Feb
The top Leadership and Investigators of the FBI and the Justice Department have politicized the sacred investigative process in favor of Democrats and against Republicans - something which would have been unthinkable just a short time ago. Rank & File are great people!,2-Feb
"The Democrats just arenâ€™t calling about DACA. Nancy Pelosi and Chuck Schumer have to get moving fast, or theyâ€™ll disappoint you again. We have a great chance to make a deal or, blame the Dems! March 5th is coming up fast.",1-Feb
"Thank you for all of the nice compliments and reviews on the State of the Union speech. 45.6 million people watched, the highest number in history. @FoxNews beat every other Network, for the first time ever, with 11.7 million people tuning in. Delivered from the heart!",1-Feb
"March 5th is rapidly approaching and the Democrats are doing nothing about DACA. They Resist, Blame, Complain and Obstruct - and do nothing. Start pushing Nancy Pelosi and the Dems to work out a DACA fix, NOW!",1-Feb
"Heading to beautiful West Virginia to be with great members of the Republican Party. Will be planning Infrastructure and discussing Immigration and DACA, not easy when we have no support from the Democrats. NOT ONE DEM VOTED FOR OUR TAX CUT BILL! Need more Republicans in â€˜18.",1-Feb
Join me live for the #SOTU,30-Jan
"Congratulations to Americaâ€™s new Secretary of @HHSGov, Alex Azar!",29-Jan
"Our economy is better than it has been in many decades. Businesses are coming back to America like never before. Chrysler, as an example, is leaving Mexico and coming back to the USA. Unemployment is nearing record lows. We are on the right track!",28-Jan
"Somebody please inform Jay-Z that because of my policies, Black Unemployment has just been reported to be at the LOWEST RATE EVER RECORDED!",28-Jan
Democrats are not interested in Border Safety & Security or in the funding and rebuilding of our Military. They are only interested in Obstruction!,27-Jan
"I have offered DACA a wonderful deal, including a doubling in the number of recipients & a twelve year pathway to citizenship, for two reasons: (1) Because the Republicans want to fix a long time terrible problem. (2) To show that Democrats do not want to solve DACA, only use it!",27-Jan
"Taliban targeted innocent Afghans, brave police in Kabul today. Our thoughts and prayers go to the victims, and first responders. We will not allow the Taliban to win!",27-Jan
"On Holocaust Remembrance Day we mourn and grieve the murder of 6 million innocent Jewish men, women and children, and the millions of others who perished in the evil Nazi Genocide. We pledge with all of our might and resolve: Never Again! http://45.wh.gov/EnM9Dn ",27-Jan
Thank you to Brandon Judd of the National Border Patrol Council for his strong statement on @foxandfriends that we very badly NEED THE WALL. Must also end loophole of â€œcatch & releaseâ€ù and clean up the legal and other procedures at the border NOW for Safety & Security reasons.,27-Jan
Thank you for the wonderful welcome @WEF! #Davos2018,26-Jan
DACA has been made increasingly difficult by the fact that Cryinâ€™ Chuck Schumer took such a beating over the shutdown that he is unable to act on immigration!,26-Jan
"Heading back from a very exciting two days in Davos, Switzerland. Speech on Americaâ€™s economic revival was well received. Many of the people I met will be investing in the U.S.A.! #MAGA",26-Jan
"Join me live at the 2018 World Economic Forum in Davos, Switzerland! #WEF18 http://45.wh.gov/3pX3Bd ",26-Jan
Great bilateral meeting with President @Alain_Berset of the Swiss Confederation - as we continue to strengthen our great friendship. Such an honor to be in Switzerland! #WEF18,26-Jan
"It was an honor to meet with Republic of Rwanda President Paul Kagame this morning in Davos, Switzerland. Many great discussions! #WEF18",26-Jan
"Will be interviewed on  @SquawkCNBC by @JoeSquawk coming up at 6:00amE from Davos, Switzerland. Enjoy! #WEF18",26-Jan
"Today, Americans everywhere remember the brave men and women of @NASA who lost their lives in our Nationâ€™s eternal quest to expand the boundaries of human potential. https://www.whitehouse.gov/briefings-statements/nasa-day-remembrance-2018/ â€_",25-Jan
"Very productive bilateral meeting with Prime Minister Benjamin @Netanyahu of Israel - in Davos, Switzerland! #WEF18",25-Jan
"Great bilateral meeting with Prime Minister Theresa May of the United Kingdom, affirming the special relationship and our commitment to work together on key national security challenges and economic opportunities. #WEF18",25-Jan
"Will soon be heading to Davos, Switzerland, to tell the world how great America is and is doing. Our economy is now booming and with all I am doing, will only get better...Our country is finally WINNING again!",24-Jan
"It was my great honor to welcome Mayorâ€™s from across America to the WH. My Administration will always support local government - and listen to the leaders who know their communities best. Together, we will usher in a bold new era of Peace and Prosperity! http://45.wh.gov/USAMayors ",24-Jan
"Earlier today, I spoke with @GovMattBevin of Kentucky regarding yesterdayâ€™s shooting at Marshall County High School. My thoughts and prayers are with Bailey Holt, Preston Cope, their families, and all of the wounded victims who are in recovery. We are with you!",24-Jan
"Tremendous investment by companies from all over the world being made in America. There has never been anything like it. Now Disney, J.P. Morgan Chase and many others. Massive Regulation Reduction and Tax Cuts are making us a powerhouse again. Long way to go! Jobs, Jobs, Jobs!",24-Jan
"Cryinâ€™ Chuck Schumer fully understands, especially after his humiliating defeat, that if there is no Wall, there is no DACA. We must have safety and security, together with a strong Military, for our great people!",23-Jan
"Where are the 50,000 important text messages between FBI lovers Lisa Page and Peter Strzok?  Blaming Samsung!",23-Jan
"Thank you to General John Kelly, who is doing a fantastic job, and all of the Staff and others in the White House, for a job well done. Long hours and Fake reporting makes your job more difficult, but it is always great to WIN, and few have won more than us!",23-Jan
"Nobody knows for sure that the Republicans & Democrats will be able to reach a deal on DACA by February 8, but everyone will be trying....with a big additional focus put on Military Strength and Border Security. The Dems have just learned that a Shutdown is not the answer!",23-Jan
"In one of the biggest stories in a long time, the FBI now says it is missing five months worth of lovers Strzok-Page texts, perhaps 50,000, and all in prime time. Wow!",23-Jan
Even Crazy Jim Acosta of Fake News CNN agrees: â€œTrump World and WH sources dancing in end zone: Trump wins again...Schumer and Dems caved...gambled and lost.â€ù Thank you for your honesty Jim!,23-Jan
"Big win for Republicans as Democrats cave on Shutdown. Now I want a big win for everyone, including Republicans, Democrats and DACA, but especially for our Great Military and Border Security. Should be able to get there. See you at the negotiating table!",22-Jan
End the Democrats Obstruction!,22-Jan
Democrats have shut down our government in the interests of their far left base. They donâ€™t want to do it but are powerless!,22-Jan
The Democrats are turning down services and security for citizens in favor of services and security for non-citizens. Not good!,22-Jan
Thank you to Brad Blakeman on @FoxNews for grading year one of my presidency with an â€œAâ€ù-and likewise to Doug Schoen for the very good grade and statements. Working hard!,21-Jan
"Great to see how hard Republicans are fighting for our Military and Safety at the Border. The Dems just want illegal immigrants to pour into our nation unchecked. If stalemate continues, Republicans should go to 51% (Nuclear Option) and vote on real, long term budget, no C.R.â€™s!",21-Jan
Democrats are holding our Military hostage over their desire to have unchecked illegal immigration. Canâ€™t let that happen!,20-Jan
".@EricTrump: ""My father was elected for one reason, and that's because he actually believes in putting America first, which is overwhelming among the citizens of this country."" @JudgeJeanine",20-Jan
".@KellyannePolls: ""Since @POTUS took office, 863,000 new jobs were filled by women. Over half a million American women have entered the work force since he took over."" @JudgeJeanine",20-Jan
".@davidwebbshow: ""Let's look at the calendar. It's January 20th. DACA expires on March 5th. That means this was a construct of @TheDemocrats."" #shutdown",20-Jan
".@EricTrump: ""People have seen a year that's incredible, that's been filled with nothing but the best for our country, America-first policies, and they're happy with where we are as a nation."" @JudgeJeanine",20-Jan
Eric Trump on @JudgeJeanine on @FoxNews now!,20-Jan
"The Trump Administration has terminated more UNNECESSARY Regulation, in just twelve months, than any other Administration has terminated during their full term in office, no matter what the length. The good news is, THERE IS MUCH MORE TO COME!",20-Jan
Democrats are far more concerned with Illegal Immigrants than they are with our great Military or Safety at our dangerous Southern Border. They could have easily made a deal but decided to play Shutdown politics instead. #WeNeedMoreRepublicansIn18 in order to power through mess!,20-Jan
